No, Name, Age, City, Country
1, John,25, New York, USA
2, Alice,30, London, UK
3, Bob,35, Tokyo, Japan
4, Emma,28, Paris, France
5, David,32, Sydney, Australia
6, Sarah,27, Berlin, Germany
7, Michael,29, Toronto, Canada
8, Olivia,31, Madrid, Spain
9, Daniel,26, Rome, Italy
10, Sophia,33, Amsterdam, Netherlands
11, James,34, Dublin, Ireland
12, Lily,24, Lisbon, Portugal
13, Ethan,36, Brussels, Belgium
14, Ava,29, Vienna, Austria
15, William,30, Stockholm, Sweden
16, Alex,28, Copenhagen, Denmark
18, Max,27, Oslo, Norway
